Raw Gaze R,Raw Gaze L,Gaze Mid X,Gaze Mid Y,Time
|Point2d(x=0.142611, y=0.019137)|,|Point2d(x=0.156594, y=0.081799)|,0.14960279315710068,0.05046761315315962,1580609977.889838
|Point2d(x=0.144943, y=0.013487)|,|Point2d(x=0.157668, y=0.077028)|,0.15130532532930374,0.04525752877816558,1580609977.900204
|Point2d(x=0.148308, y=0.013165)|,|Point2d(x=0.156906, y=0.073207)|,0.15260717272758484,0.043185950722545385,1580609977.911921
|Point2d(x=0.149105, y=0.010375)|,|Point2d(x=0.160854, y=0.066983)|,0.15497969835996628,0.038679313380271196,1580609977.923002
|Point2d(x=0.149955, y=0.013812)|,|Point2d(x=0.160572, y=0.069219)|,0.15526345372200012,0.04151584906503558,1580609977.933838
|Point2d(x=0.145766, y=0.013995)|,|Point2d(x=0.162162, y=0.067258)|,0.1539640724658966,0.04062669724225998,1580609977.945281
|Point2d(x=0.148413, y=0.019820)|,|Point2d(x=0.162017, y=0.078290)|,0.15521495789289474,0.04905502870678902,1580609977.956362
|Point2d(x=0.148673, y=0.019548)|,|Point2d(x=0.163227, y=0.076304)|,0.15594974160194397,0.047925991006195545,1580609977.967113
|Point2d(x=0.142953, y=0.009218)|,|Point2d(x=0.161092, y=0.073912)|,0.15202262997627258,0.04156471090391278,1580609977.9783
|Point2d(x=0.139147, y=0.011897)|,|Point2d(x=0.158929, y=0.055857)|,0.14903797954320908,0.03387710778042674,1580609977.989328
|Point2d(x=0.135113, y=0.010417)|,|Point2d(x=0.160055, y=0.055755)|,0.14758417755365372,0.033086180221289396,1580609978.00024
|Point2d(x=0.140796, y=0.005486)|,|Point2d(x=0.161852, y=0.057563)|,0.1513238549232483,0.031524179270491004,1580609978.011907
|Point2d(x=0.142933, y=0.004892)|,|Point2d(x=0.161476, y=0.066077)|,0.15220484882593155,0.03548420360311866,1580609978.023019
|Point2d(x=0.140531, y=0.007521)|,|Point2d(x=0.162356, y=0.066625)|,0.15144352614879608,0.03707308042794466,1580609978.033518
|Point2d(x=0.137869, y=0.012261)|,|Point2d(x=0.162648, y=0.067179)|,0.1502586528658867,0.039719811640679836,1580609978.045066
|Point2d(x=0.133014, y=0.004603)|,|Point2d(x=0.166884, y=0.066264)|,0.14994926005601883,0.03543352568522096,1580609978.056176
|Point2d(x=0.136606, y=0.006339)|,|Point2d(x=0.164695, y=0.069664)|,0.1506504863500595,0.038001609267666936,1580609978.066855
|Point2d(x=0.134760, y=0.009035)|,|Point2d(x=0.167911, y=0.073950)|,0.15133549273014069,0.0414922796189785,1580609978.078483
|Point2d(x=0.140330, y=0.024717)|,|Point2d(x=0.168040, y=0.074697)|,0.1541851982474327,0.049706839956343174,1580609978.08995
|Point2d(x=0.139086, y=0.027671)|,|Point2d(x=0.168788, y=0.069480)|,0.1539374366402626,0.04857577756047249,1580609978.099903
|Point2d(x=0.141247, y=0.019058)|,|Point2d(x=0.166151, y=0.062745)|,0.1536993458867073,0.040901362895965576,1580609978.111515
|Point2d(x=0.136443, y=0.019463)|,|Point2d(x=0.168835, y=0.068462)|,0.1526387482881546,0.04396282695233822,1580609978.122745
|Point2d(x=0.139048, y=0.018164)|,|Point2d(x=0.167949, y=0.070608)|,0.1534983441233635,0.04438593704253435,1580609978.13346
|Point2d(x=0.136627, y=0.026871)|,|Point2d(x=0.167739, y=0.071707)|,0.15218304097652435,0.04928896389901638,1580609978.145237
|Point2d(x=0.140518, y=0.017284)|,|Point2d(x=0.166522, y=0.062918)|,0.15351996570825577,0.04010071698576212,1580609978.156245
|Point2d(x=0.139094, y=0.014657)|,|Point2d(x=0.167084, y=0.063757)|,0.15308916568756104,0.039206968154758215,1580609978.166728
|Point2d(x=0.142246, y=0.009313)|,|Point2d(x=0.166237, y=0.062796)|,0.15424145758152008,0.036054900381714106,1580609978.178256
|Point2d(x=0.142586, y=0.011715)|,|Point2d(x=0.163562, y=0.065354)|,0.15307402610778809,0.03853478189557791,1580609978.189443
|Point2d(x=0.138817, y=0.011963)|,|Point2d(x=0.164698, y=0.063287)|,0.15175753086805344,0.03762505017220974,1580609978.200067
|Point2d(x=0.139390, y=0.027601)|,|Point2d(x=0.163532, y=0.068067)|,0.15146059542894363,0.047834097407758236,1580609978.211535
|Point2d(x=0.142952, y=0.029552)|,|Point2d(x=0.167080, y=0.070186)|,0.15501593053340912,0.04986921139061451,1580609978.222507
|Point2d(x=0.143167, y=0.029263)|,|Point2d(x=0.167723, y=0.068952)|,0.15544498711824417,0.049107518047094345,1580609978.233386
|Point2d(x=0.145192, y=0.020856)|,|Point2d(x=0.170195, y=0.071752)|,0.15769320726394653,0.04630373511463404,1580609978.245181
|Point2d(x=0.171054, y=0.013467)|,|Point2d(x=0.196503, y=0.063727)|,0.18377874046564102,0.03859707387164235,1580609978.256523
|Point2d(x=0.216359, y=0.014002)|,|Point2d(x=0.234543, y=0.061585)|,0.2254510000348091,0.03779348870739341,1580609978.266651
|Point2d(x=0.245499, y=0.011260)|,|Point2d(x=0.250644, y=0.053836)|,0.24807171523571014,0.032548156566917896,1580609978.278283
|Point2d(x=0.240711, y=0.020484)|,|Point2d(x=0.263178, y=0.064980)|,0.25194447487592697,0.04273196402937174,1580609978.289079
|Point2d(x=0.238428, y=0.022200)|,|Point2d(x=0.272058, y=0.060265)|,0.2552429363131523,0.0412325132638216,1580609978.299714
|Point2d(x=0.238687, y=0.021997)|,|Point2d(x=0.273733, y=0.064463)|,0.2562101259827614,0.0432296572253108,1580609978.31169
|Point2d(x=0.242992, y=0.029409)|,|Point2d(x=0.274508, y=0.048414)|,0.2587502971291542,0.03891148418188095,1580609978.322616
|Point2d(x=0.241422, y=0.026846)|,|Point2d(x=0.275919, y=0.051113)|,0.2586705610156059,0.03897937014698982,1580609978.333302
|Point2d(x=0.245436, y=0.030880)|,|Point2d(x=0.273318, y=0.046442)|,0.2593768313527107,0.03866124618798494,1580609978.344395
|Point2d(x=0.246215, y=0.021160)|,|Point2d(x=0.281641, y=0.058938)|,0.26392800360918045,0.040048904716968536,1580609978.356044
|Point2d(x=0.248483, y=0.025294)|,|Point2d(x=0.280746, y=0.058405)|,0.26461442559957504,0.0418496485799551,1580609978.366709
|Point2d(x=0.246413, y=0.026712)|,|Point2d(x=0.281683, y=0.058594)|,0.26404760777950287,0.0426534079015255,1580609978.378261
|Point2d(x=0.242304, y=0.031679)|,|Point2d(x=0.276207, y=0.054871)|,0.25925567746162415,0.04327520914375782,1580609978.388926
